eventid,id,ccode,countryname,startdate,enddate,duration,stday,stmo,styr,eday,emo,eyr,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,notes,female_event,lgbtq_issue,coder,acd_questionable,latitude,longitude,geo_comments,location_precision 
410233,233,41,Haiti,20-Jul-94,20-Jul-94,1,20,7,1994,20,7,1994,4,0,Citizens,,,Food distribution center,,0,0,4,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,3,,,"A near riot occurred at a food distribution center, with police lashing people with belts and switches as they struggled to get into the building for a handout.",AP,,0,0,BS,0,18.533331,-72.333344,,
410234,234,41,Haiti,28-Jul-93,28-Jul-93,1,28,7,1993,28,7,1993,1,0,Citizens,,,United Nations,United States,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,A protest was held against the U.S. and U.N.,Both,Coded as an etype 1 because leaflets were handed out to get people to participate in the demonstration and this strongly implies organization,0,0,BS,0,18.533331,-72.333344,,
410235,235,41,Haiti,31-Jul-94,31-Jul-94,1,31,7,1994,31,7,1994,7,0,Armed men,,,Activist Bien-Aime,Bien-Aime family,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,"Armed men showed up at the house of Bien-Aime, an Aristide activist, and pushed his wife around and tore her blouse.",AP,Coded as last day of July because exact event date not specified,0,0,BS,0,18.950001,-72.466667,UNKNOWN,no
410236,236,41,Haiti,1-Aug-94,1-Aug-94,1,1,8,1994,1,8,1994,10,0,Soldiers,Armed civilians,,Senator Reynold Georges,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Soldiers and armed civilians attacked Senator Georges, shooting him in the back and in the arm.",AP,,0,0,BS,0,18.533331,-72.333344,,
410237,237,41,Haiti,2-Aug-94,2-Aug-94,1,2,8,1994,2,8,1994,7,0,Militias,,,Haitian refugees,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,Militias roughed up Haitians at a refugee processing center.,AP,,0,0,BS,0,18.533331,-72.333344,,
410238,238,41,Haiti,3-Aug-94,3-Aug-94,1,3,8,1994,3,8,1994,7,0,Soldiers,,,Citizens,,0,0,-99,0,0,Cabaret,Cabaret,1,3,3,11,,,"Soldiers arrested, beat and detained citizens on the streets after dark.",AP,,0,0,BS,0,18.73333,-72.416656,,
410239,239,41,Haiti,3-Aug-94,3-Aug-94,1,3,8,1994,3,8,1994,7,0,Unknown assailants,,,Citizens,,0,0,-99,2,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"The bodies of two men, both shot and with straps cinched around their necks, were dumped in the middle of a busy street.",AP,"Cautiously coded as an etype 7, but responsibility for deaths unknown",0,0,BS,0,18.533331,-72.333344,,
410240,240,41,Haiti,8-Aug-94,8-Aug-94,1,8,8,1994,8,8,1994,2,0,Pro-military demonstrators,,,United States,,0,0,-99,0,0,Les Cayes,Les Cayes,1,3,3,11,,,A pro-military demonstration was held outside the United States embassy.,Both,Event date not specified; date of first mention coded as start and end date,0,0,BS,0,18.200001,-73.75,,
410241,241,41,Haiti,9-Aug-94,9-Aug-94,1,9,8,1994,9,8,1994,8,0,Unknown assailants,,,Mayor Lydie Parent,Sen. Clark Parent,1,1,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,Petionville Mayor Lydie Parent and her brother Senator Clark Parent were victims of a shooting and teargas attack at their home; a relative in the house was injured.,Both,Coded as an etype 8 because Mayor and Senator were targets,0,0,BS,0,18.533331,-72.333344,,
410242,242,41,Haiti,15-Aug-94,15-Aug-94,1,15,8,1994,15,8,1994,7,0,Gunmen,,,Libete newspaper street sellers,,0,0,-99,-77,0,Unknown,Unknown,1,-99,-99,11,,,A Libete weekly newspaper street seller was threatened at gunpoint and another was thrown into the truck of a car and driven away.,AP,Coded as middle of month because exact event date not specified,0,0,BS,0,18.950001,-72.466667,UNKNOWN,no
410243,243,41,Haiti,28-Aug-94,28-Aug-94,1,28,8,1994,28,8,1994,7,0,Armed men,,,Father Jean-Marie Vincent,,0,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"Father Jean-Marie Vincent, a close adviser of Aristide, was gunned down by armed men outside the Congregation of Montfortain Fathers headquarters.",Both,,0,0,BS,0,18.533331,-72.333344,,
410244,244,41,Haiti,8-Sep-94,8-Sep-94,1,8,9,1994,8,9,1994,1,0,Front for the Advancement and Progress of Haiti,Far-right citizens,,United States,United Nations,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,"2,000 to 3,000 pro-military demonstrators rallied against  a U.S. invasion, the international trade embargo, and also Aristide.",AP,,0,0,BS,0,18.533331,-72.333344,,
410245,245,41,Haiti,11-Sep-94,11-Sep-94,1,11,9,1994,11,9,1994,4,0,Armed civilians,,,Churchgoers,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,,,"As United States warships appeared off the coast of Haiti, armed civilians shot into the air and broke up a church service.",AP,"Coded as an 8 for issue1 because U.S. warships off the coast, but not certain this is the reason for the shotting at the church",0,0,BS,0,18.533331,-72.333344,,
410246,246,41,Haiti,14-Sep-94,14-Sep-94,1,14,9,1994,14,9,1994,7,0,Pro-army militants,,,Citizens,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,8,,Pro-army militants beat up people as they tried to pick up leaflets dropped from American planes.,AP,,0,0,BS,0,18.533331,-72.333344,,
410247,247,41,Haiti,17-Sep-94,17-Sep-94,1,17,9,1994,17,9,1994,2,0,Pro-army demonstrators,,,Aristide,United States,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,8,,A pro-military government protest was held against Aristide and the U.S. ,Both,,0,0,BS,0,18.533331,-72.333344,,
410248,248,41,Haiti,18-Sep-94,18-Sep-94,1,18,9,1994,18,9,1994,2,0,Pro-army demonstrators,,,United States,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,8,11,,"Outside army headquarters, hundreds of people, some wearing T-shirts declaring ''No To Intervention,'' urged army chief Lt. Gen. Raoul Cedras to hold firm and pleaded with the United States to avoid a military invasion.",AP,"Difficult to determine if this protest was the same as one from previous day, so cautiously coded as separate event",0,0,BS,0,18.533331,-72.333344,,
410249,249,41,Haiti,19-Sep-94,19-Sep-94,1,19,9,1994,19,9,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,-99,0,0,Unknown,Unknown,1,-99,-99,10,,,A pro-Aristide demonstration was held.,AFP,Very little information given in article was event,0,0,BS,0,18.950001,-72.466667,UNKNOWN,no
410250,250,41,Haiti,19-Sep-94,19-Sep-94,1,19,9,1994,19,9,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,-99,0,0,Unknown,Unknown,1,-99,-99,10,,,A pro-Aristide demonstration occurred.,AFP,Very little information given in article was event; coded as a separate event from other September 19 demonstration because article says events were separate,0,0,BS,0,18.950001,-72.466667,UNKNOWN,no
410251,251,41,Haiti,19-Sep-94,19-Sep-94,1,19,9,1994,19,9,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,4,1,2,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"Several thousand people demonstrated to show Aristide, urged that military coup leader Lt. Gen. Raoul Cedras be imprisoned and hailed Americans; police moved in clubbing several demonstrators with sticks and the gun butts. ",Both,Very difficult to determine which events from September 19-20 are separate events,0,0,BS,0,18.533331,-72.333344,,
410252,252,41,Haiti,20-Sep-94,20-Sep-94,1,20,9,1994,20,9,1994,2,4,Pro-Aristide demonstrators,,,Government,,1,0,4,1,2,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"A demonstration of thousands of Aristide supporters was broken up by police; one man was beaten to death by police; after this man was killed, demonstrators began throwing rocks and pieces of concrete at police, and one policemen was injured. ",Both,Very difficult to determine which events from September 19-20 are separate events,0,0,BS,0,18.533331,-72.333344,,
410253,253,41,Haiti,20-Sep-94,20-Sep-94,1,20,9,1994,20,9,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,4,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,A demonstration supporting Aristide was held.,Both,Very difficult to determine which events from September 19-20 are separate events,0,0,BS,0,18.533331,-72.333344,,
410254,254,41,Haiti,20-Sep-94,20-Sep-94,1,20,9,1994,20,9,1994,2,0,Demonstrators,,,United States,,0,0,2,0,0,Cap-Haitien,Cap-Haitien,1,2,2,8,,,A small protest after U.S. troops landed was broken up.,AFP,"Target coded as U.S. because protest occurred while troops landed; coded as issue1 8 because protest seems to have been about U.S. intervention, but the article does not say explicitly what the protest was about",0,0,BS,0,19.73704,-72.206772,,
410255,255,41,Haiti,20-Sep-94,20-Sep-94,1,20,9,1994,20,9,1994,4,0,Angry mob,,,Citizen,,0,0,-99,-88,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,"Haitians mobbed another Haitian, beating, choking and grabbing him; the reason for the attack is unknown.",AP,Not clear if victim was killed,0,0,BS,0,18.533331,-72.333344,,
410256,256,41,Haiti,22-Sep-94,22-Sep-94,1,22,9,1994,22,9,1994,2,0,Pro-Aristide demonstrators,,,Cedras,,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Pro-Aristide demonstrators protested against Cedras. ,AP,,0,0,BS,0,18.533331,-72.333344,,
410257,257,41,Haiti,22-Sep-94,22-Sep-94,1,22,9,1994,22,9,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,-99,0,0,Cap-Haitien,Cap-Haitien,1,2,2,10,,,A pro-Aristide demonstration was held in Cap Haitien.,AP,Very little information provided about event,0,0,BS,0,19.73704,-72.206772,,
410258,258,41,Haiti,23-Sep-94,23-Sep-94,1,23,9,1994,23,9,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,4,0,0,Cap-Haitien,Cap-Haitien,1,2,2,10,,,A pro-Aristide demonstration was held.,AP,Coded as single event because it is not specified how many spontaneous demonstrations occurred,0,0,BS,0,19.73704,-72.206772,,
410259,259,41,Haiti,23-Sep-94,23-Sep-94,1,23,9,1994,23,9,1994,4,0,Aristide supporters,,,Patriotic Action Committee headquarters,,0,0,3,0,0,Cap-Haitien,Cap-Haitien,1,2,2,10,,,"About 1,000 Aristide supporters broke into the headquarters of the Patriotic Action Committee, injuring four people and sacking the building.",AP,,0,0,BS,0,19.73704,-72.206772,,
410260,260,41,Haiti,23-Sep-94,23-Sep-94,1,23,9,1994,23,9,1994,4,0,Angry mob,,,Anti-Aristide legislator,,1,0,-99,0,0,Northeast of Port-Au-Prince,Northeast of Port-Au-Prince,1,6,6,10,,,Anti-Aristide legislator Pierre Francois Vital was chased by a crowd into a police station.,AP,,0,0,BS,0,18.73761,-72.003708,Location estimated.,no
410261,261,41,Haiti,24-Sep-94,24-Sep-94,1,24,9,1994,24,9,1994,4,0,Protesters,,,Police,,1,0,2,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"About 100 demonstrators threw rocks at police headquarters, a former torture site.",AP,,0,0,BS,0,18.533331,-72.333344,,
410262,262,41,Haiti,24-Sep-94,24-Sep-94,1,24,9,1994,24,9,1994,2,0,Demonstrators,,,Cedras,,1,0,3,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Demonsrators protesting against Cedras were tear-gassed by police and the police then dragged at least two demonstrators inside a building.,AP,,0,0,BS,0,18.533331,-72.333344,,
410263,263,41,Haiti,24-Sep-94,24-Sep-94,1,24,9,1994,24,9,1994,7,0,Police,,,Pregnant woman,,0,0,1,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"A pregnant woman was pushed in the back by one policeman, then kicked in the stomach by another and fell on the sidewalk.",AP,,0,0,BS,0,18.533331,-72.333344,,
410264,264,41,Haiti,24-Sep-94,24-Sep-94,1,24,9,1994,24,9,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Pro-Aristide demonstrators held a protest. ,AP,,0,0,BS,0,18.533331,-72.333344,,
410265,265,41,Haiti,25-Sep-94,25-Sep-94,1,25,9,1994,25,9,1994,4,0,Looters,,,Police barracks,Military barracks,1,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,13,,,Hundreds of Haitians looted recently abandoned police and military barracks.,AP,,0,0,BS,0,18.533331,-72.333344,,
410266,266,41,Haiti,26-Sep-94,26-Sep-94,1,26,9,1994,26,9,1994,2,0,Pro-United States demonstrators,,,Government,,1,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,8,,Hundreds of pro-U.S. demonstrators surrounded the police precinct headquarters.,AP,,0,0,BS,0,18.533331,-72.333344,,
410267,267,41,Haiti,26-Sep-94,26-Sep-94,1,26,9,1994,26,9,1994,2,0,Pro-United States demonstrators,,,Government,,1,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,8,,Hundreds of pro-U.S. demonstrators thronged outside Haitian army headquarters where military leader Lt. Gen. Cedras met for two hours with U.S. Ambassador William Swing and Lt. Gen. Hugh Shelton.,AP,,0,0,BS,0,18.533331,-72.333344,,
410268,268,41,Haiti,26-Sep-94,26-Sep-94,1,26,9,1994,26,9,1994,4,0,Haitian citizens,Haitian soldiers,,Food depot,,0,0,2,0,1,Gonaives,Gonaives,1,2,2,3,,,"45 people, including two Haitian soldiers, looted a food depot and were arrested.",AFP,,0,0,BS,0,19.450001,-72.683327,,
410269,269,41,Haiti,26-Sep-94,26-Sep-94,1,26,9,1994,26,9,1994,4,0,Pro-Aristide assailants,,,Pro-military citizens,,0,0,-99,-88,0,Bassin Caiman,Bassin Caiman,1,3,3,10,9,,Several military regime supporters were killed in retaliation for an earlier crackdown on pro-Aristide demonstrators.,AFP,,0,0,BS,0,19.799999,-72.383331,,
410270,270,41,Haiti,27-Sep-94,27-Sep-94,1,27,9,1994,27,9,1994,4,0,Citizens,,,Relief feeding center,,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,3,,,"About 2,000 people rioted at a relief feeding center, fleeing when American military police drove up, then resumed the looting once the military left.",Both,,0,0,BS,0,18.533331,-72.333344,,
410271,271,41,Haiti,27-Sep-94,27-Sep-94,1,27,9,1994,27,9,1994,4,0,Citizens,,,United Nations Development Program warehouse,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,3,,,A U.N. Development Program warehouse was ransacked and 11 tons of food taken.,Both,Difficult to determine if this event is separate from riot at relief feeding center on same day,0,0,BS,0,18.533331,-72.333344,,
410272,272,41,Haiti,27-Sep-94,28-Sep-94,2,27,9,1994,28,9,1994,4,0,Citizens,,,Government,,1,1,-99,0,0,Cap-Haitien,Cap-Haitien,1,2,2,13,,,"Abandoned military and police outposts were ransacked, a rural sheriff was detained by civilians who also turned guns over to U.S. forces.",AP,,0,0,BS,0,19.73704,-72.206772,,
410273,273,41,Haiti,28-Sep-94,28-Sep-94,1,28,9,1994,28,9,1994,2,4,Pro-Aristide demonstrators,,,Government,,1,0,3,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,A pro-Aristide demonstration of about 200 people turned violent when members of the Front for the Advancement and Progress of Haiti threw rocks at demonstrators and hit some with batons.,Both,,0,0,BS,0,18.533331,-72.333344,,
410274,274,41,Haiti,29-Sep-94,29-Sep-94,1,29,9,1994,29,9,1994,9,4,Macoutes militia members,,,Aristide/Paul supporters,,0,0,4,-88,0,Port-Au-Prince,Port-Au-Prince,1,1,1,13,,,A grenade attack on Aristide and Mayor Evans Paul supporters killed between 4 and 9 people and wounded at least 62 people; demonstrators surrounded the house where the grenades were suspected of coming from and hurled bricks at the building.,Both,There are disparities in the number of people injured and killed in the attack so the most recent numbers were used,0,0,BS,0,18.533331,-72.333344,,
410275,275,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,4,0,Citizens,,,Grocery store,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,3,,,Several hundred people pillaged a grocery store.,AFP,,0,0,BS,0,18.533331,-72.333344,,
410276,276,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,4,0,Pro-Aristide mobs,,,Suspected paramilitary members,,0,0,-99,-88,0,Port-Au-Prince,Port-Au-Prince,1,1,1,13,,,Three or four army auxiliaries were killed in a clash with a mob of people in front of the Holiday Inn.,Both,Difficult to determine if this is a separate event or part of an escalation from another event,0,0,BS,0,18.533331,-72.333344,,
410277,277,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,4,0,Unknown assailants,,,Aristide supporter,,0,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,An Aristide supporter was killed with a bullet to the head.,Both,"Coded as an etype 4 because actor not specified; also, difficult to determine if event was separate event  or part of another",0,0,BS,0,18.533331,-72.333344,,
410278,278,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,2,0,Pro-democracy demonstrators,,,Government,,1,0,4,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"A march of 5,000 pro-democracy demonstrators was broken up by pro-Army militiamen, who tore apart a loudspeaker truck at the front of the pro-Aristide march, shooting out its tires and pouring gasoline around it.",AP,Difficult to determine from article if people were actually killed during this event so coded a 0 for deaths,0,0,BS,0,18.533331,-72.333344,,
410279,279,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,2,0,Pro-democracy demonstrators,,,Government,,1,0,4,0,0,Cap-Haitien,Cap-Haitien,1,2,2,10,,,A pro-democracy demonstration with thousands of people was held.,AP,Very little information given about event,0,0,BS,0,19.73704,-72.206772,,
410280,280,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,2,0,Pro-democracy demonstrators,,,Government,,1,0,-99,0,0,Jeremie,Jeremie,1,3,3,10,,,A pro-democracy demonstration was held.,AP,Very little information given in article about event,0,0,BS,0,18.65,-74.116669,,
410281,281,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,4,0,Looters,,,Food warehouse,,0,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,3,,,"About 2,000 people looted a warehouse of sugar, rice and condensed milk.",AP,,0,0,BS,0,18.533331,-72.333344,,
410282,282,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,4,0,Mob,,,Food warehouse,,0,0,4,0,0,Cap-Haitien,Cap-Haitien,1,2,2,3,,,"About 2,000 people mobbed a warehouse where U.S. troops were handing out sugar and other dry goods; one soldier fired a warning shot in the air while others tried to force people to form lines.",AP,,0,0,BS,0,19.73704,-72.206772,,
410283,283,41,Haiti,30-Sep-94,30-Sep-94,1,30,9,1994,30,9,1994,2,0,Churchgoers,,,Government,,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Churchgoers held a protest against the government.,AP,Many  of the participants in this event went on to participate in another pro-Aristide demonstration later in the day; this event coded as a separate event,0,0,BS,0,18.533331,-72.333344,,
410284,284,41,Haiti,1-Oct-94,1-Oct-94,1,1,10,1994,1,10,1994,4,0,Looters,,,Food warehouse,,0,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,3,,,"Hundreds of people looting a food warehouse owned by a businessman with army connections was fired on by a private security guard, injuring seven.",AP,Coded as a 0 for repression because security guard was private,0,0,BS,0,18.533331,-72.333344,,
410285,285,41,Haiti,1-Oct-94,1-Oct-94,1,1,10,1994,1,10,1994,4,0,Looters,,,Warehouses,,0,0,-99,0,1,Unspecified seaside district,Unspecified seaside district,1,6,6,3,,,"Mobs ransacked warehouses of sugar, and Haitian police fired tear gas to clear them out of one building.",AP,,0,0,BS,0,18.950001,-72.466667,UNKNOWN,no
410286,286,41,Haiti,1-Oct-94,1-Oct-94,1,1,10,1994,1,10,1994,4,0,Haitians,,,Looters,,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,13,,,Haitians pelted rocks and broken bottles from a store rooftop to protect it from looters.,AP,,0,0,BS,0,18.950001,-72.466667,UNKNOWN,no
410287,287,41,Haiti,1-Oct-94,1-Oct-94,1,1,10,1994,1,10,1994,4,0,Mob,,,Suspected paramilitary member,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,13,,,A man was attacked and stabbed by a mob who accused him of being a pro-army militiamen.,AP,,0,0,BS,0,18.533331,-72.333344,,
410288,288,41,Haiti,3-Oct-94,3-Oct-94,1,3,10,1994,3,10,1994,4,0,Club-wielding demonstrators,,,Front for the Advancement and Progress of Haiti headquarters,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,13,,,Haitians overran FRAPH headquarters and destroyed telephones and other property.,AP,,0,0,BS,0,18.533331,-72.333344,,
410289,289,41,Haiti,6-Oct-94,6-Oct-94,1,6,10,1994,6,10,1994,2,0,Aristide supporters,,,Haitian military,,1,0,3,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Aristide supporters protested against the military.,AP,"Event occurred near Port-Au-Prince, but exact location not specified; coded as Port-Au-Prince",0,0,BS,0,18.533331,-72.333344,,
410290,290,41,Haiti,6-Oct-94,6-Oct-94,1,6,10,1994,6,10,1994,4,0,Warehouse owner,,,Crowd,,0,0,-99,1,0,Unknown,Unknown,1,-99,-99,13,,,"A warehouse owner who felt threatened fired into a crowd, killing one and injuring four.",Both,,0,0,BS,0,18.950001,-72.466667,UNKNOWN,no
410291,291,41,Haiti,6-Oct-94,6-Oct-94,1,6,10,1994,6,10,1994,7,0,Pro-military attaches,,,Bus driver,,0,0,1,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,About half a dozen pro-military attaches hacked a bus driver to death.,AP,,0,0,BS,0,18.533331,-72.333344,,
410292,292,41,Haiti,7-Oct-94,7-Oct-94,1,7,10,1994,7,10,1994,2,0,Pro-democracy demonstrators,,,Haitian military,,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"About 5,000 pro-democracy Haitians marched to army headquarters demanding that Cedras step down and also leave Haiti.",AP,,0,0,BS,0,18.533331,-72.333344,,
410293,293,41,Haiti,7-Oct-94,7-Oct-94,1,7,10,1994,7,10,1994,2,4,Pro-Aristide demonstrators,,,Government,,1,0,4,0,0,Mirabalais,Mirabalais,1,3,3,10,,,"Several thousand people demonstrated in support of Aristide; a paramilitary member threw a rock at demonstrators, who then seized him, beat him, and turned him over to U.S. forces.",AP,,0,0,BS,0,18.8333,-72.099998,,
410294,294,41,Haiti,7-Oct-94,7-Oct-94,1,7,10,1994,7,10,1994,2,0,Pro-democracy demonstrators,,,Government,,1,0,-99,15,0,Peris,Peris,1,3,3,10,,,A pro-democracy rally was broken up by plainclothes Haitians who drove through in a truck and mowed down at least 15 people.,AP,Repress coded as 0 because it is believed that the bus that drove through the demonstration killed people accidently,0,0,BS,0,19.35433,-72.584106,,
410295,295,41,Haiti,8-Oct-94,8-Oct-94,1,8,10,1994,8,10,1994,7,0,Pro-military thugs,,,Pro-Aristide Artist,,0,0,2,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,About 15 men attacked pro-Aristide artist and democratic activist Stevenson Magloire and beat him to death.,AP,,0,0,BS,0,18.533331,-72.333344,,
410296,296,41,Haiti,8-Oct-94,8-Oct-94,1,8,10,1994,8,10,1994,7,0,Police,,,Marcellus Denis,,0,0,-99,1,0,Port-Salut,Port-Salut,1,3,3,11,,,"Marcellus Denis, an Aristide supporter, was forced to eat pictures of Aristide and was beaten, tortured and had several bones broken and later died.",AP,Event date estimated,0,0,BS,0,18.09391,-73.925697,,
410297,297,41,Haiti,9-Oct-94,9-Oct-94,1,9,10,1994,9,10,1994,2,0,Pro-Aristide demonstrators,,,Government,,1,0,-99,24,2,Djimenzen,Djimenzen,1,3,3,10,,,"A pro-Aristide march had a bus plow through it being driven by a pro-military militiaman, killing 24 people and wounding at least 15 others.",AP,"Some disparity in total killed, so most recent number coded",0,0,BS,0,18.245609,-72.945099,Located about 60 miles southwest of the capital.,no
410298,298,41,Haiti,9-Oct-94,9-Oct-94,1,9,10,1994,9,10,1994,4,0,Anti-military demonstrators,,,New trainee police force,Military,1,1,3,0,0,Cap-Haitien,Cap-Haitien,1,2,2,10,,,A police force trainee swearing in was broken up by about 500 people who accused the inductees of being linked to the military and forced them to flee.,AP,,0,0,BS,0,19.73704,-72.206772,,
410299,299,41,Haiti,10-Oct-94,10-Oct-94,1,10,10,1994,10,10,1994,2,4,Anti-Cedras demonstrators,,,Cedras,,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"A protest was held against Cedras, and a shot was fired by a U.S. troop after a Haitian smashed a bottle on the windshield of the general's departing car.",Both,,0,0,BS,0,18.533331,-72.333344,,
410300,300,41,Haiti,12-Oct-94,12-Oct-94,1,12,10,1994,12,10,1994,4,0,Rock-throwing demonstrators,,,Haitian military,,1,0,-99,0,1,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Rock-throwing demonstrators advanced on military headquarters to protest the alleged deaths of prisoners at the hands of Haitians soldiers.,AP,,0,0,BS,0,18.533331,-72.333344,,
410301,301,41,Haiti,12-Oct-94,12-Oct-94,1,12,10,1994,12,10,1994,2,0,Pro-Aristide demonstrators,,,Haitian military,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,People marched past army headquarters with pictures of Aristide.,AP,,0,0,BS,0,18.533331,-72.333344,,
410302,302,41,Haiti,12-Oct-94,12-Oct-94,1,12,10,1994,12,10,1994,2,0,Anti-military demonstrators,,,Haitian military,,1,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,Haitians waved branches and played musical instruments outside Cedras' mansion and marched to the airport to celebrate his departure from Haiti.,AP,,0,0,BS,0,18.533331,-72.333344,,
410303,303,41,Haiti,13-Oct-94,13-Oct-94,1,13,10,1994,13,10,1994,4,0,Anti-military demonstrators,,,Police Station,Corporal Mondelus Norelus,1,1,-99,0,0,Les Cayes,Les Cayes,1,3,3,10,,,"A police station was pillaged and U.S. troops prevented the lynching of Corporal Mondelus Norelus, a notorious torturer.",AFP,"Exact event date not given, so date of article coded as start and end date",0,0,BS,0,18.200001,-73.75,,
410304,304,41,Haiti,13-Oct-94,13-Oct-94,1,13,10,1994,13,10,1994,4,0,Aristide supporters,,,Local police,,0,1,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"People raided the local police station, chased off a half-dozen policemen, stripping one of his clothes, and pounded the police station to the ground with sledgehammers.",AP,,0,0,BS,0,18.533331,-72.333344,,
410305,305,41,Haiti,16-Oct-94,16-Oct-94,1,16,10,1994,16,10,1994,9,0,Lavalas,,,Front for the Advancement and Progress of  Haiti members,Random passerby,0,0,2,2,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,"Vigilantes went from house to house looking for FRAPH members, found a member's house and bloodied his wife's face, then killed a man with a machete outside, then went back to the FRAPH member's house and killed him.",AP,Coded as issue1 10 because Lavalas was looking for a FRAPH member that committed human rights abuses,0,0,BS,0,18.533331,-72.333344,,
410306,306,41,Haiti,16-Oct-94,16-Oct-94,1,16,10,1994,16,10,1994,4,0,Pro-Aristide crowd,,,Maj. Gen. Jean-Claude Duperval,Haitian military,1,0,4,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,10,,,A pro-Aristide crowd rioted.,AP,Coded as single event because there seems to be momentum,0,0,BS,0,18.533331,-72.333344,,
